CID,Title,MolecularFormula,InChIKey,InChI,ExactMass,XLogP,TPSA,SMILES
5481663,Narcissin,C28H32O16,UIDGLYUNOUKLBM-GEBJFKNCSA-N,"InChI=1S/C28H32O16/c1-9-18(32)21(35)23(37)27(41-9)40-8-16-19(33)22(36)24(38)28(43-16)44-26-20(34)17-13(31)6-11(29)7-15(17)42-25(26)10-3-4-12(30)14(5-10)39-2/h3-7,9,16,18-19,21-24,27-33,35-38H,8H2,1-2H3/t9-,16+,18-,19+,21+,22-,23+,24+,27+,28-/m0/s1",624.16903493,-1,255,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O
932,(+-)-Naringenin,C15H12O5,FTVWIRXFELQLPI-UHFFFAOYSA-N,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2",272.06847348,2.4,87,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
15540754,Naringenin-7-O-glucuronide,C21H20O11,BDCRTIDKZGEVEN-CGXGPNJMSA-N,"InChI=1S/C21H20O11/c22-9-3-1-8(2-4-9)13-7-12(24)15-11(23)5-10(6-14(15)31-13)30-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-6,13,16-19,21-23,25-27H,7H2,(H,28,29)/t13-,16-,17-,18+,19-,21+/m0/s1",448.10056145,0.8,183,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)C4=CC=C(C=C4)O
92794,Prunin,C21H22O10,DLIKSSGEMUFQOK-SFTVRKLSSA-N,"InChI=1S/C21H22O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-6,14,16,18-24,26-28H,7-8H2/t14-,16+,18+,19-,20+,21+/m0/s1",434.12129689,0.6,166,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC=C(C=C4)O
5280343,Quercetin,C15H10O7,REFJWTPEDVJJIY-UHFFFAOYSA-N,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",302.04265265,1.5,127,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
5281643,Hyperoside,C21H20O12,OVSQVDMCBVZWGM-DTGCRPNFSA-N,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15+,17+,18-,21+/m1/s1",464.09547607,0.4,207,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O
5274585,Querciturone,C21H18O13,DUBCCGAQYVUYEU-ZUGPOPFOSA-N,"InChI=1S/C21H18O13/c22-7-4-10(25)12-11(5-7)32-17(6-1-2-8(23)9(24)3-6)18(13(12)26)33-21-16(29)14(27)15(28)19(34-21)20(30)31/h1-5,14-16,19,21-25,27-29H,(H,30,31)/t14-,15-,16+,19-,21+/m0/s1",478.07474062,0.6,224,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O
5282166,quercetin 3-O-sophoroside,C27H30O17,RDUAJIJVNHKTQC-UJECXLDQSA-N,"InChI=1S/C27H30O17/c28-6-14-17(34)20(37)22(39)26(41-14)44-25-21(38)18(35)15(7-29)42-27(25)43-24-19(36)16-12(33)4-9(30)5-13(16)40-23(24)8-1-2-10(31)11(32)3-8/h1-5,14-15,17-18,20-22,25-35,37-39H,6-7H2/t14-,15-,17-,18-,20+,21+,22-,25-,26+,27+/m1/s1",626.14829948,-1.2,286,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O
131637041,Quercetin 3-O-beta-D-glucose-7-O-beta-D-gentiobioside,C33H40O22,VUTMUSRYWYUQIK-GZIDCZEMSA-N,"InChI=1S/C33H40O22/c34-6-15-19(39)23(43)26(46)31(52-15)49-8-17-21(41)25(45)27(47)32(54-17)50-10-4-13(38)18-14(5-10)51-29(9-1-2-11(36)12(37)3-9)30(22(18)42)55-33-28(48)24(44)20(40)16(7-35)53-33/h1-5,15-17,19-21,23-28,31-41,43-48H,6-8H2/t15-,16-,17-,19-,20-,21-,23+,24+,25+,26-,27-,28-,31-,32-,33+/m1/s1",788.2011229,-3.6,365,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O
5320861,Reynoutrin,C20H18O11,PZZRDJXEMZMZFD-BWYUNELBSA-N,"InChI=1S/C20H18O11/c21-8-4-11(24)14-13(5-8)30-18(7-1-2-9(22)10(23)3-7)19(16(14)27)31-20-17(28)15(26)12(25)6-29-20/h1-5,12,15,17,20-26,28H,6H2/t12-,15+,17-,20+/m1/s1",434.08491139,0.4,186,C1[C@H]([C@@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
